date,total,total_inside,total_outside,total_gas,total_aqueous,total_gas_inside,total_aqueous_inside,total_gas_outside,total_aqueous_outside
20200101,95323807.23447745,95323797.83732592,9.397151537539486,91230718.35930733,4093088.875170099,91230709.89565577,4093087.9416701347,8.463651573307535,0.9334999642319499
20400101,109932710.71819343,109932663.05237883,47.66581458939248,105212331.1371495,4720379.58104393,105212288.20639063,4720374.845988202,42.93075886143778,4.735055727954698
20600101,126082184.79121266,126081983.89056091,200.90065175383728,120668357.79283535,5413826.998377305,120668176.84937495,5413807.041185971,180.9434604201443,19.957191333692965
20800101,143831422.57181314,143830697.23321503,725.3385981013732,137655435.3124192,6175987.259393929,137654782.02794865,6175915.20526639,653.2844705629581,72.0541275384152
21000101,163275201.6314399,163272903.64854002,2297.98289987268,156264233.45083645,7010968.180603452,156262163.74636182,7010739.902178201,2069.70447462144,228.27842525123964
21200101,184543526.10919446,184537013.02025372,6513.0889407406075,176619084.2118476,7924441.897346877,176613218.12410387,7923794.896149872,5866.087743736092,647.001197004515
21400101,207790811.3330904,207774036.2066236,16775.126466779835,198867580.50558934,8923230.827501068,198852471.796855,8921564.409768613,15108.708734324533,1666.417732455303
21600101,233179264.61907122,233139494.11716992,39770.50190129766,223164587.55098787,10014677.068083368,223128767.79543284,10010726.321737088,35819.75555502038,3950.7463462772816
21800101,260858673.37075278,260770955.5351205,87717.83563230705,249652771.93466935,11205901.436083449,249573767.86683127,11197187.668289224,79004.06783808213,8713.767794224912
22000101,290946045.36782175,290764453.5988879,181591.7689338544,278442934.2984645,12503111.069357295,278279381.6032997,12485071.99558825,163552.69516480938,18039.073769045015
